"COD_PED","COD_LINHA","DESC","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Total Geral","LATITUDE","LONGITUDE"
3374140,"90","Avenida Edmeia Mattos Lazzarotti, 3413",NA,NA,NA,NA,NA,2,NA,2,NA,1,1,NA,NA,1,NA,5,NA,2,2,NA,NA,NA,NA,NA,NA,-19.94780166,-44.19133376
3374146,"90","Avenida Edmeia Mattos Lazzarotti, 3355",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94908054,-44.19372716
3374155,"90","Avenida Edmeia Mattos Lazzarotti, 4054",NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.94548836,-44.18785882
3374157,"90","Rua Rio Grande do Sul, 956",NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94235701,-44.18745869
3374176,"90","Avenida Edmeia Mattos Lazzarotti, 4235",NA,NA,NA,NA,NA,3,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,-19.94360927,-44.18779019
3374180,"90","Avenida Edmeia Mattos Lazzarotti, 3643",NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,2,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.94681029,-44.18940415
3374238,"90","Avenida Edmeia Mattos Lazzarotti, 1381",NA,NA,NA,NA,NA,14,NA,1,NA,4,4,NA,2,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,-19.93687421,-44.17906362
3374258,"90","Rodovia Br 381 Fernao Dias, 584",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,-20.01003722,-44.21854402
3374260,"90","Alameda das Aroeiras, 10",NA,NA,NA,NA,NA,8,NA,1,NA,1,2,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.01357599,-44.22131302
3374269,"90","Rua Vereador Paulo Drumond, 292",NA,NA,NA,NA,NA,3,NA,1,NA,8,1,4,NA,NA,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,-20.01996441,-44.22819807
3374277,"90","Rua Fernao Dias, 156",NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,NA,1,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,-20.02146698,-44.22955397
3374299,"90","Rua CapitÆo Mariano, 360",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.03282571,-44.21910464
3374300,"90","Rua CapitÆo Mariano, 251A",NA,NA,NA,NA,NA,7,NA,8,NA,3,1,NA,3,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.03254324,-44.21909481
3374301,"90","Rua CapitÆo Mariano, 520",NA,NA,NA,NA,NA,2,NA,6,NA,1,NA,NA,1,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,-20.03147117,-44.21894725
3374302,"90","Rua CapitÆo Mariano, 1126",NA,NA,NA,NA,NA,2,NA,5,NA,5,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03087312,-44.21915445
3374303,"90","Rua CapitÆo Mariano, 102",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.02951044,-44.219971
3374304,"90","Rua CapitÆo Mariano, 102",NA,NA,NA,NA,NA,2,NA,8,NA,4,2,NA,2,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.02950476,-44.22004073
3374305,"90","Rua Geraldo Jos‚ Viˆira, 689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.0284682,-44.22191554
3374306,"90","Rua Geraldo Jos‚ Viˆira, 629",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02846272,-44.22199554
