# id;name;latitude;longitude;routes
3374040;Avenida Hibisco, 350;-19.93411456;-44.18456160;20
3374041;Rua Ad lia, 15;-19.93148633;-44.18619761;131,210B,30
3374042;Rua Sucupira, 135;-19.93389253;-44.18276153;20,210A
3374043;Rua Sucupira, 105;-19.93404489;-44.18288988;20,210A
3374044;Avenida Hibisco, 350;-19.93403858;-44.18453659;20
3374045;Avenida Hibisco, 165;-19.93287666;-44.18587968;20
3374046;Avenida Hibisco, 15;-19.93222396;-44.18662973;20
3374047;Rua Jos‚ de Sales Pinto, 479;-19.93599710;-44.20458641;20,260A,260B,261
3374048;Rua Jos‚ de Sales Pinto, 488;-19.93588615;-44.20456808;20,260A,260B,261
3374049;Rua Jos‚ de Sales Pinto, 21;-19.93955418;-44.20269095;20,260A,260B,261
3374050;Rua Jos‚ de Sales Pinto, 194;-19.93830962;-44.20336692;20,260A,260B,261
3374051;Rua 04, 676;-19.93595649;-44.20503787;40
3374052;Rua 04, 400;-19.93792565;-44.20603537;40
3374053;Rua 04, 148a;-19.93986323;-44.20748964;40
3374054;Rua Cinco, 90;-19.93777512;-44.20797215;40
3374055;Rua JoÆo da Silva Santos, 69;-19.93952001;-44.20920957;40
3374056;Rua Jos‚ de Sales Pinto, 16;-19.93955892;-44.20259939;20,260A,260B,261
3374057;Rua Comendador Ernesto Von Wilker, 9;-19.93312712;-44.19634480;20
3374058;Rua Comendador Ernesto Von Wilker, 420;-19.93131390;-44.19789382;20
3374059;Rua Comendador Ernesto Von Wilker, 207;-19.93299550;-44.19636290;20
3374060;Rua Miguel Cardoso, 1039;-19.93162416;-44.20225997;20,27
3374061;Rua Comendador Ernesto Von Wilker, 418;-19.93130457;-44.19776511;20
3374062;Rua Maria Madalena Cardoso, 200;-19.93565971;-44.19640008;20,27
3374063;Avenida Olga Assun‡Æo Cardoso, 318;-19.93226777;-44.19947872;20
3374064;Rua Miguel Cardoso, 875;-19.93239130;-44.20092926;20,27
3374065;Avenida Olga Assun‡Æo Cardoso, 318;-19.93234155;-44.19947136;20
3374066;Rua Engenheiro Benjamin Moreira, 815;-19.93743779;-44.19545826;131,210A,210B,30,60
3374067;Rua Pedro Jorge BrandÆo, 190;-19.93179391;-44.20207858;20,27
3374068;Rua Maria Madalena Cardoso, 20;-19.93721987;-44.19571502;20,27
3374069;Avenida Manoel Alves Severo, 1220;-19.93265211;-44.20442116;20,260A,261
3374070;Rua Olga Assun‡Æo, 958;-19.93994118;-44.20217925;20,260A,260B
3374071;Rua Jos‚ de Sales Pinto, 194;-19.93824234;-44.20332048;20,260A,260B,261
3374072;Rua Manoel Pires, 115;-19.93997916;-44.20227864;20,260A,260B
3374073;Rua Maria Madalena Cardoso, 55;-19.93721737;-44.19579519;20,27
3374074;Rua Rio Branco, 14;-19.93571653;-44.19261538;131,20,210A,210B,30
3374075;Rua Maria Madalena Assun‡Æo, 239;-19.93561084;-44.19647612;20,27
3374076;Rua Ant“nio Lambertuci, 385;-19.93470745;-44.19551997;20
3374077;Rua Ant“nio Lambertuci, 400;-19.93482306;-44.19553737;20
3374078;Rua Uberaba, 326;-19.93288183;-44.19456943;20
3374079;Rua Uberaba, 399;-19.93296427;-44.19462679;20
3374080;Rua Miguel Cardoso, 875;-19.93250533;-44.20090124;20,27
